"location_id","location_name","ubigeo_dept_str","level","file_name"
0,"Peru","00","national","cap00.xlsx"
1,"Amazonas","01","department","cap01.xlsx"
2,"Ancash","02","department","cap02.xlsx"
3,"Apurimac","03","department","cap03.xlsx"
4,"Arequipa","04","department","cap04.xlsx"
5,"Ayacucho","05","department","cap05.xlsx"
6,"Cajamarca","06","department","cap06.xlsx"
7,"Provincia Constitucional del Callao","07","department","cap07.xlsx"
8,"Cusco","08","department","cap08.xlsx"
9,"Huancavelica","09","department","cap09.xlsx"
10,"Huanuco","10","department","cap10.xlsx"
11,"Ica","11","department","cap11.xlsx"
12,"Junin","12","department","cap12.xlsx"
13,"La Libertad","13","department","cap13.xlsx"
14,"Lambayeque","14","department","cap14.xlsx"
15,"Lima","15","department","cap15.xlsx"
16,"Loreto","16","department","cap16.xlsx"
17,"Madre de Dios","17","department","cap17.xlsx"
18,"Moquegua","18","department","cap18.xlsx"
19,"Pasco","19","department","cap19.xlsx"
20,"Piura","20","department","cap20.xlsx"
21,"Puno","21","department","cap21.xlsx"
22,"San Martin","22","department","cap22.xlsx"
23,"Tacna","23","department","cap23.xlsx"
24,"Tumbes","24","department","cap24.xlsx"
25,"Ucayali","25","department","cap25.xlsx"
