column_name,dataset_id,version,run_id,table_name,label,data_type,is_required,is_key,allow_na,value_min,value_max,allowed_values,allowed_values_label,units,omop_domain_id,is_omop_concept_id,notes,n_missing,pct_missing,observed_min,observed_max,example_values
year_id,life_table_mortality_peru_annual_abridged,v1.0.0,,life_table_mortality_annual_abridged_result,Año calendario interpolado,integer,TRUE,TRUE,FALSE,1900,2100,,,year,metadata,FALSE,,0,0,2020,2020,2020
location_id,life_table_mortality_peru_annual_abridged,v1.0.0,,life_table_mortality_annual_abridged_result,Ubicación (UBIGEO departamento),integer,TRUE,TRUE,FALSE,0,25,,0=Peru; 1=Amazonas; 2=Ancash; 3=Apurimac; 4=Arequipa; 5=Ayacucho; 6=Cajamarca; 7=Provincia Constitucional del Callao; 8=Cusco; 9=Huancavelica; 10=Huanuco; 11=Ica; 12=Junin; 13=La Libertad; 14=Lambayeque; 15=Lima; 16=Loreto; 17=Madre de Dios; 18=Moquegua; 19=Pasco; 20=Piura; 21=Puno; 22=San Martin; 23=Tacna; 24=Tumbes; 25=Ucayali,,observation,FALSE,,0,0,1,25,1|2|3|4|5
location_name,life_table_mortality_peru_annual_abridged,v1.0.0,,life_table_mortality_annual_abridged_result,Nombre del departamento,character,TRUE,FALSE,TRUE,,,,,,observation,FALSE,,0,0,,,AMAZONAS|ÁNCASH|APURÍMAC|AREQUIPA|AYACUCHO
sex_id,life_table_mortality_peru_annual_abridged,v1.0.0,,life_table_mortality_annual_abridged_result,Sexo (concept id OMOP),integer,TRUE,TRUE,FALSE,,,8507|8532,8507=Male; 8532=Female,,person,TRUE,,0,0,8507,8532,8507|8532
sex_source_value,life_table_mortality_peru_annual_abridged,v1.0.0,,life_table_mortality_annual_abridged_result,Sexo (valor fuente),character,TRUE,FALSE,TRUE,,,,,,person,FALSE,,0,0,,,Hombre|Mujer
life_table_label,life_table_mortality_peru_annual_abridged,v1.0.0,,life_table_mortality_annual_abridged_result,Descripción de la tabla de vida,character,TRUE,TRUE,TRUE,,,,,,metadata,FALSE,,0,0,,,"TABLAS ABREVIADAS DE MORTALIDAD
2020-2025"
age_start,life_table_mortality_peru_annual_abridged,v1.0.0,,life_table_mortality_annual_abridged_result,Edad al inicio del intervalo,integer,TRUE,TRUE,FALSE,0,130,,,years,observation,FALSE,,0,0,0,100,0|1|5|10|15
age_interval_width,life_table_mortality_peru_annual_abridged,v1.0.0,,life_table_mortality_annual_abridged_result,Amplitud del intervalo de edad,integer,TRUE,FALSE,TRUE,1,10,,,years,observation,FALSE,,50,4.5455,1,5,1|4|5
age_interval_open,life_table_mortality_peru_annual_abridged,v1.0.0,,life_table_mortality_annual_abridged_result,Indicador de intervalo abierto final,logical,TRUE,FALSE,TRUE,,,,,,metadata,FALSE,,0,0,,,FALSE|TRUE
source_year_left,life_table_mortality_peru_annual_abridged,v1.0.0,,life_table_mortality_annual_abridged_result,Año ancla izquierdo para interpolación,integer,TRUE,FALSE,FALSE,1900,2100,,,year,metadata,FALSE,,0,0,2020,2020,2020
source_year_right,life_table_mortality_peru_annual_abridged,v1.0.0,,life_table_mortality_annual_abridged_result,Año ancla derecho para interpolación,integer,TRUE,FALSE,FALSE,1900,2100,,,year,metadata,FALSE,,0,0,2020,2020,2020
interp_weight,life_table_mortality_peru_annual_abridged,v1.0.0,,life_table_mortality_annual_abridged_result,Peso lineal de interpolación,numeric,TRUE,FALSE,FALSE,0,1,,,,metadata,FALSE,,0,0,0,0,0
interp_scale,life_table_mortality_peru_annual_abridged,v1.0.0,,life_table_mortality_annual_abridged_result,Escala usada para interpolar,character,TRUE,FALSE,TRUE,,,,,,metadata,FALSE,,0,0,,,cloglog
mx,life_table_mortality_peru_annual_abridged,v1.0.0,,life_table_mortality_annual_abridged_result,"Tasa central de mortalidad m(x,n)",numeric,TRUE,FALSE,FALSE,0,,,,,measurement,FALSE,,0,0,0.000200100066716707,27.6310432378934,0.0161293819298836|0.00100200534938471|0.000600901804059745|0.000400400534134616|0.0012036144651126
qx,life_table_mortality_peru_annual_abridged,v1.0.0,,life_table_mortality_annual_abridged_result,"Probabilidad de morir q(x,n)",numeric,TRUE,FALSE,FALSE,0,1,,,,measurement,FALSE,,0,0,0.001,0.999999999999,0.016|0.004|0.003|0.002|0.006
px_5y,life_table_mortality_peru_annual_abridged,v1.0.0,,life_table_mortality_annual_abridged_result,Probabilidad de sobrevivir del intervalo,numeric,TRUE,FALSE,FALSE,0,1,,,,measurement,FALSE,,0,0,9.99977878279878e-13,0.999,0.984|0.996|0.997|0.998|0.994
lx,life_table_mortality_peru_annual_abridged,v1.0.0,,life_table_mortality_annual_abridged_result,Sobrevivientes al inicio l(x),numeric,TRUE,FALSE,FALSE,0,,,,,measurement,FALSE,,0,0,732.572571502001,1e+05,1e+05|98400|98006.4|97712.3808|97516.9560384
