period_label,period_start_year,period_end_year,location_id,location_name,sex_id,sex_source_value,life_table_label,age_start,age_interval_width,mx,qx,px_5y,lx,dx,Lx,Tx,ex,age_interval_open
1995-2000,1995,2000,1,AMAZONAS,8507,Hombre,"TABLAS ABREVIADAS DE MORTALIDAD
1995-2000",0,1,0.044,0.042,0.953,1e+05,4193,96490,6575903,65.8,FALSE
1995-2000,1995,2000,1,AMAZONAS,8507,Hombre,"TABLAS ABREVIADAS DE MORTALIDAD
1995-2000",1,4,0.003,0.013,0.989,95807,1262,380105,6479413,67.6,FALSE
1995-2000,1995,2000,1,AMAZONAS,8507,Hombre,"TABLAS ABREVIADAS DE MORTALIDAD
1995-2000",5,5,0.001,0.006,0.995,94545,539,471377,6099308,64.5,FALSE
1995-2000,1995,2000,1,AMAZONAS,8507,Hombre,"TABLAS ABREVIADAS DE MORTALIDAD
1995-2000",10,5,0.001,0.004,0.994,94006,345,469166,5627931,59.9,FALSE
1995-2000,1995,2000,1,AMAZONAS,8507,Hombre,"TABLAS ABREVIADAS DE MORTALIDAD
1995-2000",15,5,0.002,0.009,0.989,93661,795,466533,5158765,55.1,FALSE
1995-2000,1995,2000,1,AMAZONAS,8507,Hombre,"TABLAS ABREVIADAS DE MORTALIDAD
1995-2000",20,5,0.003,0.014,0.984,92866,1281,461322,4692232,50.5,FALSE
1995-2000,1995,2000,1,AMAZONAS,8507,Hombre,"TABLAS ABREVIADAS DE MORTALIDAD
1995-2000",25,5,0.004,0.018,0.981,91584,1658,453898,4230910,46.2,FALSE
1995-2000,1995,2000,1,AMAZONAS,8507,Hombre,"TABLAS ABREVIADAS DE MORTALIDAD
1995-2000",30,5,0.004,0.02,0.979,89927,1818,445156,3777012,42,FALSE
1995-2000,1995,2000,1,AMAZONAS,8507,Hombre,"TABLAS ABREVIADAS DE MORTALIDAD
1995-2000",35,5,0.005,0.023,0.976,88108,1985,435650,3331856,37.8,FALSE
1995-2000,1995,2000,1,AMAZONAS,8507,Hombre,"TABLAS ABREVIADAS DE MORTALIDAD
1995-2000",40,5,0.005,0.025,0.973,86123,2159,425319,2896206,33.6,FALSE
1995-2000,1995,2000,1,AMAZONAS,8507,Hombre,"TABLAS ABREVIADAS DE MORTALIDAD
1995-2000",45,5,0.006,0.03,0.965,83964,2494,413824,2470887,29.4,FALSE
1995-2000,1995,2000,1,AMAZONAS,8507,Hombre,"TABLAS ABREVIADAS DE MORTALIDAD
1995-2000",50,5,0.009,0.042,0.95,81470,3418,399258,2057063,25.2,FALSE
1995-2000,1995,2000,1,AMAZONAS,8507,Hombre,"TABLAS ABREVIADAS DE MORTALIDAD
1995-2000",55,5,0.012,0.06,0.927,78052,4701,379145,1657805,21.2,FALSE
1995-2000,1995,2000,1,AMAZONAS,8507,Hombre,"TABLAS ABREVIADAS DE MORTALIDAD
1995-2000",60,5,0.019,0.089,0.89,73351,6537,351314,1278660,17.4,FALSE
1995-2000,1995,2000,1,AMAZONAS,8507,Hombre,"TABLAS ABREVIADAS DE MORTALIDAD
1995-2000",65,5,0.029,0.136,0.828,66813,9072,312633,927346,13.9,FALSE
1995-2000,1995,2000,1,AMAZONAS,8507,Hombre,"TABLAS ABREVIADAS DE MORTALIDAD
1995-2000",70,5,0.048,0.216,0.728,57741,12466,258987,614712,10.6,FALSE
1995-2000,1995,2000,1,AMAZONAS,8507,Hombre,"TABLAS ABREVIADAS DE MORTALIDAD
1995-2000",75,5,0.082,0.341,0.583,45275,15453,188504,355725,7.9,FALSE
1995-2000,1995,2000,1,AMAZONAS,8507,Hombre,"TABLAS ABREVIADAS DE MORTALIDAD
1995-2000",80,5,0.138,0.51,0.406,29822,15214,109933,167222,5.6,FALSE
1995-2000,1995,2000,1,AMAZONAS,8507,Hombre,"TABLAS ABREVIADAS DE MORTALIDAD
1995-2000",85,5,0.228,0.697,0.246,14608,10179,44623,57288,3.9,FALSE
1995-2000,1995,2000,1,AMAZONAS,8507,Hombre,"TABLAS ABREVIADAS DE MORTALIDAD
1995-2000",90,5,0.334,0.826,0.143,4429,3659,10962,12665,2.9,FALSE
1995-2000,1995,2000,1,AMAZONAS,8507,Hombre,"TABLAS ABREVIADAS DE MORTALIDAD
1995-2000",95,5,0.445,0.903,0.082,770,695,1564,1704,2.2,FALSE
1995-2000,1995,2000,1,AMAZONAS,8507,Hombre,"TABLAS ABREVIADAS DE MORTALIDAD
1995-2000",100,,0.535,1,0,75,75,140,140,1.9,TRUE
