column_name,dataset_id,version,run_id,table_name,label,data_type,is_required,is_key,allow_na,value_min,value_max,allowed_values,allowed_values_label,units,omop_domain_id,is_omop_concept_id,notes,n_missing,pct_missing,observed_min,observed_max,example_values
year_id,life_table_mortality_peru_single_age,v1.4.0,,life_table_mortality_single_age_result,Año calendario,integer,TRUE,TRUE,FALSE,1900,2100,,,year,metadata,FALSE,,0,0,2020,2020,2020
location_id,life_table_mortality_peru_single_age,v1.4.0,,life_table_mortality_single_age_result,Ubicación (UBIGEO departamento),integer,TRUE,TRUE,FALSE,0,25,,0=Peru; 1=Amazonas; 2=Ancash; 3=Apurimac; 4=Arequipa; 5=Ayacucho; 6=Cajamarca; 7=Provincia Constitucional del Callao; 8=Cusco; 9=Huancavelica; 10=Huanuco; 11=Ica; 12=Junin; 13=La Libertad; 14=Lambayeque; 15=Lima; 16=Loreto; 17=Madre de Dios; 18=Moquegua; 19=Pasco; 20=Piura; 21=Puno; 22=San Martin; 23=Tacna; 24=Tumbes; 25=Ucayali,,observation,FALSE,,0,0,1,25,1|2|3|4|5
location_name,life_table_mortality_peru_single_age,v1.4.0,,life_table_mortality_single_age_result,Nombre del departamento,character,TRUE,FALSE,TRUE,,,,,,observation,FALSE,,0,0,,,AMAZONAS|ÁNCASH|APURÍMAC|AREQUIPA|AYACUCHO
sex_id,life_table_mortality_peru_single_age,v1.4.0,,life_table_mortality_single_age_result,Sexo (concept id OMOP),integer,TRUE,TRUE,FALSE,,,8507|8532,8507=Male; 8532=Female,,person,TRUE,,0,0,8507,8532,8507|8532
sex_source_value,life_table_mortality_peru_single_age,v1.4.0,,life_table_mortality_single_age_result,Sexo (valor fuente),character,TRUE,FALSE,TRUE,,,,,,person,FALSE,,0,0,,,Hombre|Mujer
life_table_label,life_table_mortality_peru_single_age,v1.4.0,,life_table_mortality_single_age_result,Descripción de la tabla de vida,character,TRUE,TRUE,TRUE,,,,,,metadata,FALSE,,0,0,,,"TABLAS ABREVIADAS DE MORTALIDAD
2020-2025"
source_year_left,life_table_mortality_peru_single_age,v1.4.0,,life_table_mortality_single_age_result,Año ancla izquierdo,integer,TRUE,FALSE,FALSE,1900,2100,,,year,metadata,FALSE,,0,0,2020,2020,2020
source_year_right,life_table_mortality_peru_single_age,v1.4.0,,life_table_mortality_single_age_result,Año ancla derecho,integer,TRUE,FALSE,FALSE,1900,2100,,,year,metadata,FALSE,,0,0,2020,2020,2020
interp_weight,life_table_mortality_peru_single_age,v1.4.0,,life_table_mortality_single_age_result,Peso de interpolación,numeric,TRUE,FALSE,FALSE,0,1,,,,metadata,FALSE,,0,0,0,0,0
interp_scale,life_table_mortality_peru_single_age,v1.4.0,,life_table_mortality_single_age_result,Escala usada para interpolación,character,TRUE,FALSE,TRUE,,,,,,metadata,FALSE,,0,0,,,cloglog
age_start,life_table_mortality_peru_single_age,v1.4.0,,life_table_mortality_single_age_result,Edad exacta x,integer,TRUE,TRUE,FALSE,0,130,,,years,observation,FALSE,,0,0,0,110,0|1|2|3|4
age_interval_width,life_table_mortality_peru_single_age,v1.4.0,,life_table_mortality_single_age_result,Ancho del intervalo de edad,integer,TRUE,FALSE,FALSE,1,1,,,years,observation,FALSE,,0,0,1,1,1
age_interval_open,life_table_mortality_peru_single_age,v1.4.0,,life_table_mortality_single_age_result,Indicador de intervalo abierto final,logical,TRUE,FALSE,TRUE,,,,,,metadata,FALSE,,0,0,,,FALSE|TRUE
mx,life_table_mortality_peru_single_age,v1.4.0,,life_table_mortality_single_age_result,Tasa central de mortalidad single-age,numeric,TRUE,FALSE,FALSE,0,,,,,measurement,FALSE,,0,0,0.000152187179674839,3.02617473925005,0.0161293819298836|0.0010430720876187|0.00101519647880005|0.000988065832459298|0.000961686998660778
qx,life_table_mortality_peru_single_age,v1.4.0,,life_table_mortality_single_age_result,Probabilidad de morir single-age,numeric,TRUE,FALSE,FALSE,0,1,,,,measurement,FALSE,,0,0,0.000152175599793414,0.951499188016453,0.016|0.001042528277023|0.00101468134119143|0.00098757785614545|0.000961224725918197
px_5y,life_table_mortality_peru_single_age,v1.4.0,,life_table_mortality_single_age_result,Probabilidad de sobrevivir del intervalo anual,numeric,TRUE,FALSE,FALSE,0,1,,,,measurement,FALSE,,0,0,0.0485008119835466,0.999847824400207,0.984|0.998957471722977|0.998985318658809|0.999012422143855|0.999038775274082
lx,life_table_mortality_peru_single_age,v1.4.0,,life_table_mortality_single_age_result,Sobrevivientes a edad exacta x,numeric,TRUE,FALSE,FALSE,0,,,,,measurement,FALSE,,0,0,3.13835509191416e-08,1e+05,1e+05|98400|98297.4152175409|98197.6746644324|98100.6968154088
dx,life_table_mortality_peru_single_age,v1.4.0,,life_table_mortality_single_age_result,Defunciones entre x y x+1,numeric,TRUE,FALSE,FALSE,0,,,,,measurement,FALSE,,0,0,2.98614232166362e-08,5125.8707599669,1600|102.584782459063|99.7405531085849|96.9778490235684|94.2968154087755
Lx,life_table_mortality_peru_single_age,v1.4.0,,life_table_mortality_single_age_result,Personas-año entre x y x+1,numeric,TRUE,FALSE,FALSE,0,,,,,measurement,FALSE,,0,0,1.03707001820123e-08,99649.5902311323,99197.8494250674|98348.6986918245|98247.5365029604|98149.1777548773|98053.540850704
Tx,life_table_mortality_peru_single_age,v1.4.0,,life_table_mortality_single_age_result,Personas-año acumuladas desde x,numeric,TRUE,FALSE,FALSE,0,,,,,measurement,FALSE,,0,0,1.03707001820123e-08,8228428.62890641,7211985.83848516|7112787.98906009|7014439.29036827|6916191.75386531|6818042.57611043
ex,life_table_mortality_peru_single_age,v1.4.0,,life_table_mortality_single_age_result,Esperanza de vida a edad exacta x,numeric,TRUE,FALSE,FALSE,0,,,,years,measurement,FALSE,,0,0,0.33045018419783,82.2842862890641,72.1198583848516|72.284430783131|71.3593462742096|70.4313190459935|69.5004500216711
META:age_definition,life_table_mortality_peru_single_age,v1.4.0,,life_table_mortality_single_age_result,Definición de edad,character,FALSE,FALSE,TRUE,,,,,,metadata,FALSE,Edad exacta simple (single age).,,,,,
META:year_definition,life_table_mortality_peru_single_age,v1.4.0,,life_table_mortality_single_age_result,Definición de año,character,FALSE,FALSE,TRUE,,,,,,metadata,FALSE,Año calendario interpolado a partir de anclas en period_start_year.,,,,,
META:population_units,life_table_mortality_peru_single_age,v1.4.0,,life_table_mortality_single_age_result,Unidades de población,character,FALSE,FALSE,TRUE,,,,,,metadata,FALSE,,,,,,
META:location_definition,life_table_mortality_peru_single_age,v1.4.0,,life_table_mortality_single_age_result,Definición de ubicación,character,FALSE,FALSE,TRUE,,,,,,metadata,FALSE,UBIGEO departamento (00=Perú; 01–25=departamento).,,,,,
META:extrapolation_method,life_table_mortality_peru_single_age,v1.4.0,,life_table_mortality_single_age_result,Método de extrapolación,character,FALSE,FALSE,TRUE,,,,,,metadata,FALSE,Expansión de tabla abridged anual a edad simple bajo supuesto de hazard constante dentro de cada intervalo etario.,,,,,
