section,location_id,location_name,metric,scale_mode,pdf_file
script02,1,AMAZONAS,qx,log10,C:/Users/Usuario/OneDrive/Consultorias_Personales/Carga-CDC-Peru-2023/carga-enfermedad-peru-2018-2024/tabla-mortalidad-peru/reports/visual_qc_life_table_mortality/visual_qc_script02_qx_annual_abridged_vs_empirical.pdf
script02,1,AMAZONAS,qx,linear,C:/Users/Usuario/OneDrive/Consultorias_Personales/Carga-CDC-Peru-2023/carga-enfermedad-peru-2018-2024/tabla-mortalidad-peru/reports/visual_qc_life_table_mortality/visual_qc_script02_qx_annual_abridged_vs_empirical.pdf
script02,2,ÁNCASH,qx,log10,C:/Users/Usuario/OneDrive/Consultorias_Personales/Carga-CDC-Peru-2023/carga-enfermedad-peru-2018-2024/tabla-mortalidad-peru/reports/visual_qc_life_table_mortality/visual_qc_script02_qx_annual_abridged_vs_empirical.pdf
script02,2,ÁNCASH,qx,linear,C:/Users/Usuario/OneDrive/Consultorias_Personales/Carga-CDC-Peru-2023/carga-enfermedad-peru-2018-2024/tabla-mortalidad-peru/reports/visual_qc_life_table_mortality/visual_qc_script02_qx_annual_abridged_vs_empirical.pdf
script02,3,APURÍMAC,qx,log10,C:/Users/Usuario/OneDrive/Consultorias_Personales/Carga-CDC-Peru-2023/carga-enfermedad-peru-2018-2024/tabla-mortalidad-peru/reports/visual_qc_life_table_mortality/visual_qc_script02_qx_annual_abridged_vs_empirical.pdf
script02,3,APURÍMAC,qx,linear,C:/Users/Usuario/OneDrive/Consultorias_Personales/Carga-CDC-Peru-2023/carga-enfermedad-peru-2018-2024/tabla-mortalidad-peru/reports/visual_qc_life_table_mortality/visual_qc_script02_qx_annual_abridged_vs_empirical.pdf
script02,4,AREQUIPA,qx,log10,C:/Users/Usuario/OneDrive/Consultorias_Personales/Carga-CDC-Peru-2023/carga-enfermedad-peru-2018-2024/tabla-mortalidad-peru/reports/visual_qc_life_table_mortality/visual_qc_script02_qx_annual_abridged_vs_empirical.pdf
script02,4,AREQUIPA,qx,linear,C:/Users/Usuario/OneDrive/Consultorias_Personales/Carga-CDC-Peru-2023/carga-enfermedad-peru-2018-2024/tabla-mortalidad-peru/reports/visual_qc_life_table_mortality/visual_qc_script02_qx_annual_abridged_vs_empirical.pdf
script02,5,AYACUCHO,qx,log10,C:/Users/Usuario/OneDrive/Consultorias_Personales/Carga-CDC-Peru-2023/carga-enfermedad-peru-2018-2024/tabla-mortalidad-peru/reports/visual_qc_life_table_mortality/visual_qc_script02_qx_annual_abridged_vs_empirical.pdf
script02,5,AYACUCHO,qx,linear,C:/Users/Usuario/OneDrive/Consultorias_Personales/Carga-CDC-Peru-2023/carga-enfermedad-peru-2018-2024/tabla-mortalidad-peru/reports/visual_qc_life_table_mortality/visual_qc_script02_qx_annual_abridged_vs_empirical.pdf
script02,6,CAJAMARCA,qx,log10,C:/Users/Usuario/OneDrive/Consultorias_Personales/Carga-CDC-Peru-2023/carga-enfermedad-peru-2018-2024/tabla-mortalidad-peru/reports/visual_qc_life_table_mortality/visual_qc_script02_qx_annual_abridged_vs_empirical.pdf
script02,6,CAJAMARCA,qx,linear,C:/Users/Usuario/OneDrive/Consultorias_Personales/Carga-CDC-Peru-2023/carga-enfermedad-peru-2018-2024/tabla-mortalidad-peru/reports/visual_qc_life_table_mortality/visual_qc_script02_qx_annual_abridged_vs_empirical.pdf
script02,7,PROV. CONST. DEL CALLAO,qx,log10,C:/Users/Usuario/OneDrive/Consultorias_Personales/Carga-CDC-Peru-2023/carga-enfermedad-peru-2018-2024/tabla-mortalidad-peru/reports/visual_qc_life_table_mortality/visual_qc_script02_qx_annual_abridged_vs_empirical.pdf
script02,7,PROV. CONST. DEL CALLAO,qx,linear,C:/Users/Usuario/OneDrive/Consultorias_Personales/Carga-CDC-Peru-2023/carga-enfermedad-peru-2018-2024/tabla-mortalidad-peru/reports/visual_qc_life_table_mortality/visual_qc_script02_qx_annual_abridged_vs_empirical.pdf
script02,8,CUSCO,qx,log10,C:/Users/Usuario/OneDrive/Consultorias_Personales/Carga-CDC-Peru-2023/carga-enfermedad-peru-2018-2024/tabla-mortalidad-peru/reports/visual_qc_life_table_mortality/visual_qc_script02_qx_annual_abridged_vs_empirical.pdf
script02,8,CUSCO,qx,linear,C:/Users/Usuario/OneDrive/Consultorias_Personales/Carga-CDC-Peru-2023/carga-enfermedad-peru-2018-2024/tabla-mortalidad-peru/reports/visual_qc_life_table_mortality/visual_qc_script02_qx_annual_abridged_vs_empirical.pdf
script02,9,HUANCAVELICA,qx,log10,C:/Users/Usuario/OneDrive/Consultorias_Personales/Carga-CDC-Peru-2023/carga-enfermedad-peru-2018-2024/tabla-mortalidad-peru/reports/visual_qc_life_table_mortality/visual_qc_script02_qx_annual_abridged_vs_empirical.pdf
script02,9,HUANCAVELICA,qx,linear,C:/Users/Usuario/OneDrive/Consultorias_Personales/Carga-CDC-Peru-2023/carga-enfermedad-peru-2018-2024/tabla-mortalidad-peru/reports/visual_qc_life_table_mortality/visual_qc_script02_qx_annual_abridged_vs_empirical.pdf
script02,10,HUÁNUCO,qx,log10,C:/Users/Usuario/OneDrive/Consultorias_Personales/Carga-CDC-Peru-2023/carga-enfermedad-peru-2018-2024/tabla-mortalidad-peru/reports/visual_qc_life_table_mortality/visual_qc_script02_qx_annual_abridged_vs_empirical.pdf
script02,10,HUÁNUCO,qx,linear,C:/Users/Usuario/OneDrive/Consultorias_Personales/Carga-CDC-Peru-2023/carga-enfermedad-peru-2018-2024/tabla-mortalidad-peru/reports/visual_qc_life_table_mortality/visual_qc_script02_qx_annual_abridged_vs_empirical.pdf
